08 May 2012,,,,
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
10000000,13.5847748339,0,13.04850564,0
12475000,12.7508991297,0,10.98120214,0
14950000,12.3230448926,0,10.7856135,0
17425000,12.1949782945,0,11.62014625,0
19900000,11.586600836,0,10.60693222,0
22375000,13.3344205144,0,18.76500171,0
24850000,13.3808657819,0,19.90796737,0
27325000,13.2542013332,0,20.10654945,0
29800000,14.698980877,0,29.20949301,0
32275000,12.8091459602,0,19.49210225,0
34750000,12.9795989116,0,20.8982112,0
37225000,13.017274716,0,21.66883989,0
39700000,13.3831564261,0,23.98874107,0
42175000,13.8632184805,0,27.06117324,0
44650000,12.9044746052,0,22.73497517,0
47125000,13.928094403,0,28.39142567,0
49600000,13.5482038762,0,26.76671259,0
52075000,13.6585712261,0,27.77231328,0
54550000,13.875702754,0,29.36603539,0
57025000,14.6959026394,0,34.82556803,0
59500000,14.9868106466,0,37.23722446,0
61975000,13.8946708845,0,30.58131724,0
64450000,14.5826975078,0,35.13010091,0
66925000,14.0883788765,0,32.3670371,0
69400000,14.2516638819,0,33.66463581,0
71875000,14.3592517529,0,34.63663362,0
74350000,13.3585821789,0,29.31558486,0
76825000,12.1205017135,0,24.22489403,0
79300000,12.2970551008,0,25.17638859,0
81775000,11.9030700124,0,23.97152964,0
84250000,11.9029184492,0,24.2299759,0
86725000,11.0469608914,0,21.70900837,0
89200000,10.8429435578,0,21.36941247,0
91675000,10.9257728104,0,21.84093232,0
94150000,11.7031766036,0,24.49831312,0
96625000,10.895896373,0,22.21285859,0
99100000,11.4025805128,0,23.95352021,0
101575000,11.8224177425,0,25.56967925,0
104050000,12.0655885769,0,26.65494593,0
106525000,11.5862588871,0,25.17776701,0
109000000,11.7794572038,0,26.03271772,0
111475000,12.5842579423,0,29.29471813,0
113950000,12.6415861649,0,29.7263788,0
116425000,11.7129263393,0,26.37609857,0
118900000,10.8512301601,0,23.8889425,0
121375000,9.83303737,0,21.52543532,0
123850000,8.6736054815,0,19.44610567,0
126325000,7.8798513513,0,18.38719612,0
128800000,7.8930467868,0,18.57440327,0
131275000,8.1364045195,0,19.09453195,0
133750000,9.1303878488,0,20.93125466,0
136225000,8.3135383509,0,19.68707464,0
138700000,9.0606270849,0,21.11647662,0
141175000,9.0247488817,0,21.20383341,0
143650000,8.4277447788,0,20.32876122,0
146125000,7.415785686,0,19.02991022,0
148600000,7.009238528,0,18.68292138,0
151075000,6.5973088177,0,18.3719024,0
153550000,3.1079458183,0,15.99047333,0
156025000,-8.6595964975,0,13.94772671,0
158500000,-1.0801143323,0,13.44077575,0
160975000,0.4179650809,0,13.25414538,0
163450000,2.8560795492,0,16.41792358,0
165925000,5.3997188711,0,11.15109247,0
168400000,6.9117160109,0,9.835822893,0
170875000,7.3958236214,0,9.383443915,0
173350000,7.2057824996,0,9.743410011,0
175825000,7.335690294,0,9.706979477,0
178300000,7.9628856072,0,8.987144686,0
180775000,7.7844327588,0,9.358731566,0
183250000,7.78506285,0,9.475972676,0
185725000,7.2542961763,0,10.28330863,0
188200000,6.1794760881,0,11.56335251,0
190675000,3.2156093517,0,13.72905614,0
193150000,7.3396230399,0,10.51835577,0
195625000,7.8209780773,0,9.993714905,0
198100000,7.6377163079,0,10.35309842,0
200575000,7.3509008483,0,10.83190573,0
203050000,7.3259374338,0,10.96957272,0
205525000,7.5185021403,0,10.82987149,0
208000000,7.6166403532,0,10.80477657,0
210475000,7.4427520564,0,11.13423754,0
212950000,7.5576580786,0,11.08698393,0
215425000,7.1967527646,0,11.64176997,0
217900000,7.146825176,0,11.80093541,0
220375000,7.1402392713,0,11.90689301,0
222850000,3.846566487,0,14.75556038,0
225325000,5.1292367603,0,14.01839317,0
227800000,7.3309855882,0,11.96230384,0
230275000,7.3647574773,0,12.01394127,0
232750000,7.7264785067,0,11.63334636,0
235225000,7.4874191747,0,12.04252286,0
237700000,7.2075475895,0,12.48338049,0
240175000,6.7768032605,0,13.06975173,0
242650000,6.9898103701,0,12.91947889,0
245125000,7.3838569236,0,12.53273236,0
247600000,7.3640417034,0,12.64491658,0
250075000,6.6509098575,0,13.55662653,0
252550000,5.8903836982,0,14.38510085,0
255025000,5.8524923131,0,14.50352959,0
257500000,6.1933729581,0,14.27320713,0
259975000,5.5589619114,0,14.92199819,0
262450000,2.3215936975,0,16.89422297,0
264925000,2.6773306365,0,16.83006615,0
267400000,5.6349742109,0,15.10309039,0
269875000,5.1754344656,0,15.5506192,0
272350000,6.9975673505,0,13.91348181,0
274825000,7.2764877991,0,13.65980249,0
277300000,7.4226611513,0,13.55483909,0
279775000,7.0853938237,0,14.04478381,0
282250000,7.0146337362,0,14.20389048,0
284725000,7.2846884329,0,13.95709442,0
287200000,7.5060852552,0,13.75239051,0
289675000,7.814326959,0,13.41271376,0
292150000,7.7748637668,0,13.54129635,0
294625000,7.5027195759,0,13.97845614,0
297100000,7.5399053263,0,14.0027307,0
299575000,7.3237145308,0,14.35038871,0
302050000,7.1643964957,0,14.61635009,0
304525000,7.0999164694,0,14.76394384,0
307000000,6.2156347144,0,15.77903922,0
309475000,3.9014187957,0,17.57700046,0
311950000,4.2211522484,0,17.45858988,0
314425000,6.5097755736,0,15.6934397,0
316900000,7.2972244053,0,14.87155792,0
319375000,7.3363258779,0,14.89059282,0
321850000,7.4520142932,0,14.81144877,0
324325000,7.4532741702,0,14.87637339,0
326800000,7.6730782037,0,14.65359376,0
329275000,7.6500731153,0,14.75004499,0
331750000,7.4314208562,0,15.10090688,0
334225000,7.4339477631,0,15.16224527,0
336700000,7.6892514153,0,14.89098136,0
339175000,7.7321775863,0,14.89624971,0
341650000,7.7675948571,0,14.91082566,0
344125000,7.4156011835,0,15.43913906,0
346600000,6.4209654744,0,16.63028919,0
349075000,6.9244946099,0,16.15288471,0
351550000,7.4489850325,0,15.5819985,0
354025000,7.5978727171,0,15.44909721,0
356500000,7.3465948693,0,15.83294511,0
358975000,6.3500778838,0,17.00601593,0
361450000,5.2744913064,0,18.01236701,0
363925000,5.2177087563,0,18.11539686,0
366400000,3.8087131062,0,19.09545885,0
368875000,5.8445993549,0,17.71644623,0
371350000,6.8929412306,0,16.72583449,0
373825000,6.8638508623,0,16.81617691,0
376300000,7.2279443714,0,16.44873253,0
378775000,7.8766067362,0,15.65479971,0
381250000,8.0536869536,0,15.45614133,0
383725000,7.9134279436,0,15.71535788,0
386200000,7.4656398676,0,16.37714743,0
388675000,6.8788114633,0,17.13778128,0
391150000,7.1614290972,0,16.86519534,0
393625000,7.5030634508,0,16.49427215,0
396100000,7.5993241838,0,16.42259286,0
398575000,7.4941267839,0,16.61438757,0
401050000,6.9439991294,0,17.33630967,0
403525000,6.9293271559,0,17.40643489,0
406000000,7.2827718041,0,17.04146423,0
408475000,7.2970611164,0,17.07662455,0
410950000,6.9123527183,0,17.5840408,0
413425000,6.8185377468,0,17.74115991,0
415900000,6.9015971166,0,17.70018872,0
418375000,6.6982303034,0,17.97586867,0
420850000,6.6096417652,0,18.12150565,0
423325000,6.3813337378,0,18.40704149,0
425800000,6.3423656906,0,18.49650123,0
428275000,4.6331698372,0,19.94831145,0
430750000,3.7008851702,0,20.55979906,0
433225000,4.9424880051,0,19.83359335,0
435700000,6.6971878075,0,18.32942754,0
438175000,7.1799747651,0,17.82902037,0
440650000,7.3619236515,0,17.65443662,0
443125000,7.5041864877,0,17.52168836,0
445600000,7.4233191228,0,17.67390835,0
448075000,7.7866451915,0,17.23991901,0
450550000,7.7616155549,0,17.32228566,0
453025000,7.5937106119,0,17.59637141,0
455500000,7.433832026,0,17.85138186,0
457975000,7.2634432835,0,18.11153237,0
460450000,7.6365449776,0,17.6806238,0
462925000,7.8728071727,0,17.40274943,0
465400000,7.8694690958,0,17.45377218,0
467875000,7.3999501496,0,18.12725114,0
470350000,7.436776824,0,18.12628054,0
472825000,7.8819889241,0,17.5735771,0
475300000,8.1518751665,0,17.22523011,0
477775000,7.9807368943,0,17.52281908,0
480250000,7.3117499144,0,18.46448034,0
482725000,7.2241652003,0,18.61663827,0
485200000,7.4858832023,0,18.33325189,0
487675000,7.8992913669,0,17.81766584,0
490150000,7.6035138918,0,18.26752298,0
492625000,7.4519877878,0,18.5087414,0
495100000,6.3204223791,0,19.82795651,0
497575000,6.1928625733,0,19.99532263,0
500050000,6.5005426466,0,19.73287455,0
502525000,6.4180923222,0,19.85977233,0
505000000,5.5010064399,0,20.73687133,0
507475000,5.7638171318,0,20.55794265,0
509950000,6.698672162,0,19.69463037,0
512425000,7.3165007293,0,19.02184526,0
514900000,7.4920841431,0,18.84128501,0
517375000,7.9544302065,0,18.25239451,0
519850000,7.8322383932,0,18.46706969,0
522325000,7.5610390594,0,18.87580924,0
524800000,7.3558055939,0,19.18010625,0
527275000,7.636443168,0,18.85785389,0
529750000,8.2826953159,0,17.96747482,0
532225000,8.2843303744,0,18.00542522,0
534700000,8.042039669,0,18.41125705,0
537175000,7.75594573,0,18.85753389,0
539650000,7.9796630264,0,18.58214734,0
542125000,8.145212977,0,18.37787836,0
544600000,7.8455819397,0,18.85238141,0
547075000,7.7280332283,0,19.05436868,0
549550000,7.6264092557,0,19.23064601,0
552025000,7.8692001305,0,18.93679871,0
554500000,7.7891401094,0,19.08748382,0
556975000,7.7588199889,0,19.16798315,0
559450000,7.6357378975,0,19.37327813,0
561925000,7.6846910518,0,19.34585082,0
564400000,7.6877410039,0,19.37990163,0
566875000,7.540606876,0,19.6135069,0
569350000,7.6169319163,0,19.55070856,0
571825000,7.6592256523,0,19.53185192,0
574300000,7.4986643821,0,19.78109222,0
576775000,7.4816020335,0,19.84048732,0
579250000,7.0266026631,0,20.43465412,0
581725000,7.2948966036,0,20.15034356,0
584200000,7.2477728374,0,20.24510841,0
586675000,6.589992119,0,21.02759076,0
589150000,5.9181330947,0,21.71778843,0
591625000,5.3617759771,0,22.22394566,0
594100000,5.3614555589,0,22.26045992,0
596575000,6.3303577512,0,21.43758288,0
599050000,7.3019857395,0,20.39648744,0
601525000,7.9635323236,0,19.54825981,0
604000000,7.6949792332,0,19.95910576,0
606475000,7.522219391,0,20.22400056,0
608950000,8.0203073207,0,19.57248702,0
611425000,7.9809458587,0,19.66491225,0
613900000,7.7992691521,0,19.95737073,0
616375000,7.7551299996,0,20.0532386,0
618850000,7.7997910362,0,20.02640196,0
621325000,8.2327296197,0,19.42946233,0
623800000,8.1657928672,0,19.56580793,0
626275000,8.3226724938,0,19.35908432,0
628750000,8.4460133981,0,19.19756125,0
631225000,8.4429836929,0,19.23656113,0
633700000,8.1472743904,0,19.73046634,0
636175000,7.7922117235,0,20.27673223,0
638650000,8.2125031127,0,19.69927542,0
641125000,8.1327211339,0,19.85348258,0
643600000,7.6478123601,0,20.57421998,0
646075000,7.4778158774,0,20.8308971,0
648550000,7.4261680067,0,20.93024851,0
651025000,7.7055345591,0,20.59600789,0
653500000,7.4924274901,0,20.91129522,0
655975000,7.7470114329,0,20.60522193,0
658450000,7.4802503215,0,20.99255738,0
660925000,7.1107524121,0,21.48171642,0
663400000,7.1950483326,0,21.413415,0
665875000,6.7444888791,0,21.962342,0
668350000,7.1590381524,0,21.52127061,0
670825000,6.7153837304,0,22.05823572,0
673300000,6.4886170452,0,22.32902871,0
675775000,6.9693448624,0,21.83942236,0
678250000,7.2452608912,0,21.54474156,0
680725000,7.419916127,0,21.35876624,0
683200000,6.6183588287,0,22.32071198,0
685675000,6.7024650145,0,22.26235932,0
688150000,6.4264137109,0,22.58187425,0
690625000,6.0275278374,0,22.99845996,0
693100000,5.7073335016,0,23.31428664,0
695575000,5.046428607,0,23.87061369,0
698050000,5.5452729835,0,23.51241579,0
700525000,6.4752088014,0,22.68706263,0
703000000,7.0644058005,0,22.07235432,0
705475000,7.3738670933,0,21.72719219,0
707950000,7.5105402214,0,21.58297401,0
710425000,7.619720067,0,21.46977686,0
712900000,7.6582039086,0,21.44853368,0
715375000,7.8236521932,0,21.25217368,0
717850000,7.882251409,0,21.19987144,0
720325000,7.7623987666,0,21.39691834,0
722800000,7.8606210343,0,21.29006893,0
725275000,7.8410851348,0,21.34718446,0
727750000,7.6424610034,0,21.64870817,0
730225000,7.7299410894,0,21.55996113,0
732700000,7.9400982586,0,21.29538018,0
735175000,7.8590722316,0,21.43969935,0
737650000,8.0745122408,0,21.15824566,0
740125000,8.0948139755,0,21.15726452,0
742600000,7.6439956636,0,21.82210903,0
745075000,7.7020066869,0,21.77284186,0
747550000,8.004964755,0,21.37601439,0
750025000,7.8239058916,0,21.66265937,0
752500000,7.706883139,0,21.85235354,0
754975000,7.6878216886,0,21.90670385,0
757450000,7.2165440675,0,22.53897459,0
759925000,7.4896306702,0,22.22541199,0
762400000,7.6733441186,0,22.01125222,0
764875000,7.5750149609,0,22.17042007,0
767350000,7.4926869349,0,22.30591797,0
769825000,7.2245119985,0,22.67006122,0
772300000,6.9366515743,0,23.03642351,0
774775000,7.1828374932,0,22.77613586,0
777250000,7.4488131787,0,22.47369099,0
779725000,7.3339480642,0,22.64636785,0
782200000,6.9358716537,0,23.14794598,0
784675000,7.3680514005,0,22.65866588,0
787150000,7.3394196358,0,22.72186534,0
789625000,7.1129054213,0,23.02454119,0
792100000,7.1186812492,0,23.04487809,0
794575000,6.9767789848,0,23.23755174,0
797050000,6.9499525565,0,23.29526354,0
799525000,6.7922621649,0,23.49886021,0
802000000,6.6888419204,0,23.63813778,0
804475000,6.5404176035,0,23.82165049,0
806950000,6.5513145904,0,23.83700512,0
809425000,6.3624503919,0,24.05595293,0
811900000,4.9463379636,0,25.28660631,0
814375000,4.4689827287,0,25.63816288,0
816850000,4.4504207474,0,25.67645516,0
819325000,4.7422295813,0,25.5090782,0
821800000,5.4561421479,0,25.00283987,0
824275000,6.3538130085,0,24.22246149,0
826750000,7.2007388756,0,23.31851653,0
829225000,7.5377165118,0,22.92098501,0
831700000,7.6612230175,0,22.78323971,0
834175000,7.8167252684,0,22.59629741,0
836650000,7.8218176728,0,22.61493347,0
839125000,7.768963208,0,22.71384567,0
841600000,8.2030355012,0,22.11056052,0
844075000,8.1383296456,0,22.23384258,0
846550000,8.1440842043,0,22.2506374,0
849025000,8.1824007013,0,22.21819478,0
851500000,8.1069965292,0,22.35674082,0
853975000,8.1422906395,0,22.32918135,0
856450000,8.1825721799,0,22.29356566,0
858925000,7.969246628,0,22.63405312,0
861400000,7.7970233764,0,22.90262997,0
863875000,7.9515981394,0,22.70937409,0
866350000,8.0943421913,0,22.52573114,0
868825000,7.7785191365,0,23.00278025,0
871300000,7.9701643808,0,22.75697846,0
873775000,7.7163827199,0,23.13730108,0
876250000,7.7024024943,0,23.18086571,0
878725000,7.7743646645,0,23.10692663,0
881200000,7.6497474991,0,23.30079602,0
883675000,7.4029242468,0,23.64674115,0
886150000,7.0209532936,0,24.13403342,0
888625000,7.1420340074,0,24.01587746,0
891100000,6.8902874087,0,24.33168189,0
893575000,7.3346589638,0,23.82927282,0
896050000,7.3162569621,0,23.87618652,0
898525000,7.2201855696,0,24.0180794,0
901000000,6.9765947226,0,24.32956114,0
903475000,7.0381288208,0,24.28225508,0
905950000,7.4318161307,0,23.82626901,0
908425000,7.5200299187,0,23.73637288,0
910900000,6.883900387,0,24.52974869,0
913375000,6.6349904167,0,24.82512489,0
915850000,6.8881809784,0,24.57200967,0
918325000,6.7922024204,0,24.70221312,0
920800000,6.6746644317,0,24.85316177,0
923275000,6.4339470467,0,25.12720882,0
925750000,6.6291133501,0,24.94824824,0
928225000,6.3214681151,0,25.28613108,0
930700000,6.4569448361,0,25.17342297,0
933175000,5.9682103587,0,25.6672246,0
935650000,6.8076614146,0,24.84751652,0
938125000,6.3315540068,0,25.36831267,0
940600000,5.7035679839,0,25.96969356,0
943075000,5.5945903802,0,26.08466382,0
945550000,5.8027381158,0,25.92939826,0
948025000,5.5385556927,0,26.17662213,0
950500000,4.8369909123,0,26.73325849,0
952975000,5.4086004741,0,26.3273883,0
955450000,5.227069653,0,26.49214416,0
957925000,5.4502609147,0,26.33890068,0
960400000,5.7303728587,0,26.12761594,0
962875000,6.3215406054,0,25.60439252,0
965350000,6.9397358575,0,24.97088978,0
967825000,7.0143631438,0,24.9074615,0
970300000,6.972692321,0,24.9776632,0
972775000,7.2577626618,0,24.66190596,0
975250000,7.5494256034,0,24.31454218,0
977725000,7.4416844091,0,24.47592574,0
980200000,7.6408320234,0,24.23753705,0
982675000,7.9622676594,0,23.81320604,0
985150000,7.8513855409,0,23.99273333,0
987625000,7.7097293897,0,24.21019844,0
990100000,7.6898651392,0,24.25887011,0
992575000,8.0387525385,0,23.7891403,0
995050000,7.8806955784,0,24.03829493,0
997525000,7.7000416238,0,24.30998279,0
1000000000,7.6772169624,0,24.36237323,0
1015000000,7.4464202568,0,24.79485852,0
1030000000,7.6044563982,0,24.71643737,0
1045000000,7.3600551867,0,25.15723009,0
1060000000,7.2674832231,0,25.39585818,0
1075000000,6.956678364,0,25.88604273,0
1090000000,6.1565746757,0,26.8413114,0
1105000000,5.5961256772,0,27.45970257,0
1120000000,4.8500780574,0,28.14938443,0
1135000000,6.7994384713,0,26.53423512,0
1150000000,7.6420138741,0,25.62361894,0
1165000000,7.2428948952,0,26.24635229,0
1180000000,7.6630716334,0,25.81906111,0
1195000000,7.4801225084,0,26.16962419,0
1210000000,7.2468056324,0,26.57076634,0
1225000000,6.6641983735,0,27.34377022,0
1240000000,6.9602432976,0,27.12223228,0
1255000000,6.6886873009,0,27.52769103,0
1270000000,6.7133322398,0,27.60434212,0
1285000000,5.1476244824,0,29.12644561,0
1300000000,4.5186391902,0,29.66836209,0
1315000000,4.9442318667,0,29.47658487,0
1330000000,6.9728117934,0,27.71643838,0
1345000000,7.1051698821,0,27.65972306,0
1360000000,6.9598000021,0,27.92508363,0
1375000000,7.3447456834,0,27.56011919,0
1390000000,6.9941472368,0,28.07517336,0
1405000000,7.2134059385,0,27.90922693,0
1420000000,6.9378723756,0,28.32508107,0
1435000000,6.8026370491,0,28.56782996,0
1450000000,6.7344046339,0,28.73280769,0
1465000000,6.0601661015,0,29.50014418,0
1480000000,5.7630101977,0,29.85558439,0
1495000000,6.6069174642,0,29.13465563,0
1510000000,4.4601330428,0,31.00690956,0
1525000000,3.428507059,0,31.68322756,0
1540000000,4.3697885606,0,31.23527886,0
1555000000,5.8473105082,0,30.211071,0
1570000000,6.6912429057,0,29.47006352,0
1585000000,6.9964556119,0,29.21280164,0
1600000000,7.3675984739,0,28.8478381,0
1615000000,7.6137914302,0,28.61074848,0
1630000000,7.2642234506,0,29.1374923,0
1645000000,6.1475846683,0,30.4246341,0
1660000000,6.2720570833,0,30.38372499,0
1675000000,6.7028694689,0,30.01985338,0
1690000000,6.3188479459,0,30.49338555,0
1705000000,6.1515419836,0,30.73204904,0
1720000000,6.369211499,0,30.59624716,0
1735000000,6.3857553401,0,30.65512532,0
1750000000,6.4420670669,0,30.67311498,0
1765000000,5.8807808379,0,31.28162141,0
1780000000,5.0395565381,0,32.03718807,0
1795000000,4.7637646951,0,32.30642944,0
1810000000,5.6285702133,0,31.718827,0
1825000000,5.7053949902,0,31.72528685,0
1840000000,6.3709999324,0,31.18024943,0
1855000000,6.5937219646,0,31.02259914,0
1870000000,7.0826524218,0,30.54866331,0
1885000000,6.2490756992,0,31.51015945,0
1900000000,6.2560740458,0,31.57220501,0
1915000000,6.5927957305,0,31.30006977,0
1930000000,6.8753476788,0,31.06108107,0
1945000000,6.4888476756,0,31.54301194,0
1960000000,5.8465322254,0,32.22227329,0
1975000000,6.2260264625,0,31.93759095,0
1990000000,5.0290932618,0,33.01352875,0
2005000000,5.2962871157,0,32.8767416,0
2020000000,5.7151431945,0,32.59869761,0
2035000000,6.0539670569,0,32.36043763,0
2050000000,5.7908787454,0,32.66115979,0
2065000000,4.9351933099,0,33.40296156,0
2080000000,4.1822625483,0,33.96171934,0
2095000000,2.3179024081,0,34.93842198,0
2110000000,4.7090515652,0,33.74828256,0
2125000000,3.8662300214,0,34.33148314,0
2140000000,4.8329045746,0,33.78535601,0
2155000000,4.4950562898,0,34.07376899,0
2170000000,5.8190190678,0,33.13061456,0
2185000000,6.83593871,0,32.182956,0
2200000000,5.8249153826,0,33.24468558,0
2215000000,6.0600628805,0,33.09096224,0
2230000000,6.3671540195,0,32.85382839,0
2245000000,6.8102847398,0,32.44667788,0
2260000000,7.2328056705,0,32.01430125,0
2275000000,6.5026470026,0,32.89006875,0
2290000000,6.6486498378,0,32.79433669,0
2305000000,6.8062856964,0,32.68018527,0
2320000000,5.6121080157,0,33.88884251,0
2335000000,6.225384463,0,33.39260655,0
2350000000,6.6889103034,0,32.9759342,0
2365000000,5.8913904785,0,33.8138763,0
2380000000,5.8443752597,0,33.91059911,0
2395000000,5.0941618702,0,34.57452087,0
2410000000,5.909534603,0,33.96133883,0
2425000000,5.0341825463,0,34.72696926,0
2440000000,3.8677554873,0,35.53124529,0
2455000000,4.0556547298,0,35.4767466,0
2470000000,2.4781613375,0,36.30457936,0
2485000000,6.1304900491,0,34.02402394,0
2500000000,5.0468382784,0,34.98223305,0
2515000000,4.032566074,0,35.69996689,0
2530000000,5.1693812921,0,34.99436257,0
2545000000,5.1147757142,0,35.086791,0
2560000000,6.2214767501,0,34.19543937,0
2575000000,4.6578441981,0,35.51284345,0
2590000000,6.600283876,0,33.9148146,0
2605000000,7.0592149192,0,33.45547865,0
2620000000,5.9534199168,0,34.64742478,0
2635000000,4.4403034039,0,35.85570492,0
2650000000,5.0621806243,0,35.47703786,0
2665000000,5.9327991972,0,34.81399975,0
2680000000,7.3655179463,0,33.33074675,0
2695000000,5.7419335115,0,35.07977559,0
2710000000,5.6394792179,0,35.21544946,0
2725000000,6.1486430043,0,34.80764238,0
2740000000,4.6072082387,0,36.08618898,0
2755000000,7.0121582955,0,33.99650908,0
2770000000,4.3928298274,0,36.31991014,0
2785000000,6.523493914,0,34.62543847,0
2800000000,2.90805176,0,37.20969769,0
2815000000,6.5862077346,0,34.65317921,0
2830000000,-1.1859892196,0,40.01675749,0
2845000000,6.4955781938,0,34.83935513,0
2860000000,4.0983885193,0,36.77787847,0
2875000000,3.1922550324,0,41.4783305,0
2890000000,4.2673027387,0,36.76661005,0
2905000000,3.5227651339,0,41.73340976,0
2920000000,5.2454693866,0,36.18149522,0
2935000000,3.4220388738,0,37.37327017,0
2950000000,2.2429648353,0,37.94035361,0
2965000000,6.2382003499,0,35.45497074,0
2980000000,6.7148128161,0,35.01099323,0
2995000000,-9.2070463636,0,39.86796807,0
3010000000,7.8258226445,0,33.72979984,0
3025000000,0.4688158002,0,38.72051684,0
3040000000,7.0575034338,0,34.79879759,0
3055000000,6.6364709431,0,35.31079567,0
3070000000,6.7280994673,0,35.25505486,0
3085000000,7.620798517,0,34.22307988,0
3100000000,7.6076347638,0,45.81175821,0
3115000000,7.033891146,0,35.03802441,0
3130000000,4.7770387831,0,37.12685943,0
3145000000,5.5388281678,0,36.59241473,0
3160000000,6.5940422444,0,35.6491259,0
3175000000,-0.5790860766,0,41.13004252,0
3190000000,7.0525311386,0,35.22295089,0
3205000000,2.7373285749,0,38.45839951,0
3220000000,6.1162217432,0,36.28806976,0
3235000000,7.020652835,0,35.38172269,0
3250000000,3.9986717267,0,37.94654892,0
3265000000,2.8485890131,0,38.57076493,0
3280000000,3.1123366631,0,38.48993088,0
3295000000,5.4696673814,0,37.05366953,0
3310000000,2.9271066133,0,38.65450721,0
3325000000,3.5537008237,0,38.38925805,0
3340000000,6.514328873,0,45.17652723,0
3355000000,0.2037603183,0,39.6858149,0
3370000000,7.7360516641,0,34.83507691,0
3385000000,1.6200545407,0,39.35904361,0
3400000000,7.2942504507,0,35.48636534,0
3415000000,1.8148021035,0,39.36908542,0
3430000000,6.3215724697,0,36.63884525,0
3445000000,7.3409015035,0,35.54265042,0
3460000000,7.8153456873,0,34.95459716,0
3475000000,8.4363052324,0,34.06270984,0
3490000000,4.1379986996,0,38.48352434,0
3505000000,8.7582276015,0,33.60059833,0
3520000000,-3.3304425136,0,41.61532122,0
3535000000,7.3258999479,0,35.78534783,0
3550000000,3.5830012358,0,38.94264859,0
3565000000,7.4056857586,0,35.75858268,0
3580000000,-1.7278906907,0,40.6259055,0
3595000000,5.6271213503,0,37.68045246,0
3610000000,7.7548939141,0,35.40680651,0
3625000000,5.6517498924,0,37.73185703,0
3640000000,8.6135973099,0,34.17495119,0
3655000000,5.4203964001,0,37.99405652,0
3670000000,9.8650280196,0,31.81932605,0
3685000000,8.8049641626,0,33.95429829,0
3700000000,8.730601564,0,34.11851288,0
3715000000,8.2415549144,0,34.94872086,0
3730000000,8.6894062124,0,34.25913504,0
3745000000,7.8673999253,0,35.5691975,0
3760000000,7.4587439867,0,36.1535106,0
3775000000,5.8189889242,0,37.93978551,0
3790000000,9.3632797632,0,33.1564791,0
3805000000,-23.6007226864,0,41.82272879,0
3820000000,7.0445647036,0,36.79770131,0
3835000000,4.491745103,0,39.08227642,0
3850000000,3.9169202388,0,44.39350578,0
3865000000,6.911300491,0,37.05244096,0
3880000000,9.2128809039,0,33.65429058,0
3895000000,8.1468991036,0,35.50350545,0
3910000000,8.9709208359,0,34.17326117,0
3925000000,8.9773238394,0,34.19487767,0
3940000000,9.4526566396,0,33.31404456,0
3955000000,8.3996965661,0,35.2451034,0
3970000000,9.1868194538,0,33.90337763,0
3985000000,3.3389339401,0,40.0713517,0
4000000000,5.8427814581,0,38.42166911,0
